"","REFSEQ","ALIAS"
"83","NP_000653","AAC1"
"84","NP_000653","MNAT"
"85","NP_000653","NAT-1"
"86","NP_000653","NATI"
"87","NP_000653","NAT1"
"207","NP_001076","AACT"
"208","NP_001076","ACT"
"209","NP_001076","GIG24"
"210","NP_001076","GIG25"
"211","NP_001076","SERPINA3"
"252","NP_001596","CMT2N"
"253","NP_001596","EIEE29"
"254","NP_001596","AARS"
"306","NP_005493","ABC-1"
"307","NP_005493","ABC1"
"308","NP_005493","CERP"
"309","NP_005493","HDLDT1"
"310","NP_005493","TGD"
"311","NP_005493","ABCA1"
"466","NP_001597","ABC2"
"467","NP_001597","ABCA2"
"482","NP_001080","ABC-C"
"483","NP_001080","ABC3"
"484","NP_001080","EST111653"
"485","NP_001080","LBM180"
"486","NP_001080","SMDP3"
"487","NP_001080","ABCA3"
"544","NP_001020262","ABC27"
"545","NP_001020262","ABC50"
"546","NP_001020262","ABCF1"
"594","NP_009297","ABL"
"595","NP_009297","JTK7"
"596","NP_009297","bcr/abl"
"597","NP_009297","c-ABL"
"598","NP_009297","c-ABL1"
"599","NP_009297","p150"
"600","NP_009297","v-abl"
"601","NP_009297","ABL1"
"716","NP_005149","ABLL"
"717","NP_005149","ARG"
"718","NP_005149","ABL2"
"766","NP_001083","MDB"
"767","NP_001083","ABR"
"780","NP_068781","MDB"
"781","NP_068781","ABR"
"916","NP_942131","ACAC"
"917","NP_942131","ACACAD"
"918","NP_942131","ACC"
"919","NP_942131","ACC1"
"920","NP_942131","ACCA"
"921","NP_942131","ACACA"
"1052","NP_001084","ACC2"
"1053","NP_001084","ACCB"
"1054","NP_001084","HACC275"
"1055","NP_001084","ACACB"
"1170","NP_000007","ACAD1"
"1171","NP_000007","MCAD"
"1172","NP_000007","MCADH"
"1173","NP_000007","ACADM"
"1246","NP_000009","ACAD6"
"1247","NP_000009","LCACD"
"1248","NP_000009","VLCAD"
"1249","NP_000009","ACADVL"
"1588","NP_001087","ACL"
"1589","NP_001087","ATPCL"
"1590","NP_001087","CLATP"
"1591","NP_001087","ACLY"
"1634","NP_001265281","ACONS"
"1635","NP_001265281","HEL60"
"1636","NP_001265281","IREB1"
"1637","NP_001265281","IREBP"
"1638","NP_001265281","IREBP1"
"1639","NP_001265281","IRP1"
"1640","NP_001265281","ACO1"
"1684","NP_001089","ACONM"
"1685","NP_001089","HEL-S-284"
"1686","NP_001089","ICRD"
"1687","NP_001089","OCA8"
"1688","NP_001089","OPA9"
"1689","NP_001089","ACO2"
"1718","NP_004026","ACOX"
"1719","NP_004026","PALMCOX"
"1720","NP_004026","SCOX"
"1721","NP_004026","ACOX1"
"1757","NP_004291","HAAP"
"1758","NP_004291","LMW-PTP"
"1759","NP_004291","ACP1"
"1760","NP_009030","HAAP"
"1761","NP_009030","LMW-PTP"
"1762","NP_009030","ACP1"
"2011","NP_001135417","AAT6"
"2012","NP_001135417","ACTSA"
"2013","NP_001135417","MYMY5"
"2014","NP_001135417","ACTA2"
"2026","NP_001092","BRWS1"
"2027","NP_001092","PS1TP5BP1"
"2028","NP_001092","ACTB"
"2064","NP_001186883","ACT"
"2065","NP_001186883","ACTG"
"2066","NP_001186883","BRWS2"
"2067","NP_001186883","DFNA20"
"2068","NP_001186883","DFNA26"
"2069","NP_001186883","HEL-176"
"2070","NP_001186883","ACTG1"
"2141","NP_004915","ACTININ-4"
"2142","NP_004915","FSGS"
"2143","NP_004915","FSGS1"
"2144","NP_004915","ACTN4"
"2193","NP_004292","ACTL6"
"2194","NP_004292","ARPN-BETA"
"2195","NP_004292","Arp4"
"2196","NP_004292","BAF53A"
"2197","NP_004292","INO80K"
"2198","NP_004292","ACTL6A"
"2219","NP_001123476","BDPLT15"
"2220","NP_001123476","ACTN1"
"2280","NP_001094","CMD1AA"
"2281","NP_001094","CMH23"
"2282","NP_001094","ACTN2"
"2437","NP_004293","ACTRIB"
"2438","NP_004293","ACVRLK4"
"2439","NP_004293","ALK4"
"2440","NP_004293","SKR2"
"2441","NP_004293","ACVR1B"
"2852","NP_001101","AD10"
"2853","NP_001101","AD18"
"2854","NP_001101","CD156c"
"2855","NP_001101","CDw156"
"2856","NP_001101","HsT18717"
"2857","NP_001101","MADM"
"2858","NP_001101","RAK"
"2859","NP_001101","kuz"
"2860","NP_001101","ADAM10"
"2954","NP_001102","ADAR1"
"2955","NP_001102","AGS6"
"2956","NP_001102","DRADA"
"2957","NP_001102","DSH"
"2958","NP_001102","DSRAD"
"2959","NP_001102","G1P1"
"2960","NP_001102","IFI-4"
"2961","NP_001102","IFI4"
"2962","NP_001102","K88DSRBP"
"2963","NP_001102","P136"
"2964","NP_001102","ADAR"
"3199","NP_001103","ADAR2"
"3200","NP_001103","DRABA2"
"3201","NP_001103","DRADA2"
"3202","NP_001103","RED1"
"3203","NP_001103","ADARB1"
"3483","NP_065433","AC2"
"3484","NP_065433","HBAC2"
"3485","NP_065433","ADCY2"
"3687","NP_056085","AC6"
"3688","NP_056085","LCCS8"
"3689","NP_056085","ADCY6"
"3806","NP_001107","AC9"
"3807","NP_001107","ACIX"
"3808","NP_001107","ADCY9"
"3933","NP_001110","ADDA"
"3934","NP_001110","ADD1"
"4015","NP_001171983","ADDB"
"4016","NP_001171983","ADD2"
"4050","NP_001112","ADDL"
"4051","NP_001112","CPSQ3"
"4052","NP_001112","ADD3"
"4076","NP_001113","ADFP"
"4077","NP_001113","ADRP"
"4078","NP_001113","PLIN2"
"4100","NP_000659","ADH2"
"4101","NP_000659","HEL-S-117"
"4102","NP_000659","ADH1B"
"4164","NP_000662","ADH-3"
"4165","NP_000662","ADHX"
"4166","NP_000662","FALDH"
"4167","NP_000662","FDH"
"4168","NP_000662","GSH-FDH"
"4169","NP_000662","GSNOR"
"4170","NP_000662","HEL-S-60p"
"4171","NP_000662","ADH5"
"4375","NP_001609","ADPRT"
"4376","NP_001609","ADPRT 1"
"4377","NP_001609","ADPRT1"
"4378","NP_001609","ARTD1"
"4379","NP_001609","PARP"
"4380","NP_001609","PARP-1"
"4381","NP_001609","PPOL"
"4382","NP_001609","pADPRT-1"
"4383","NP_001609","PARP1"
"4394","NP_006428","ADPRTL1"
"4395","NP_006428","ARTD4"
"4396","NP_006428","PARP-4"
"4397","NP_006428","PARPL"
"4398","NP_006428","PH5P"
"4399","NP_006428","VAULT3"
"4400","NP_006428","VPARP"
"4401","NP_006428","VWA5C"
"4402","NP_006428","p193"
"4403","NP_006428","PARP4"
"4706","NP_001610","ADRBK1"
"4707","NP_001610","BARK1"
"4708","NP_001610","BETA-ARK1"
"4709","NP_001610","GRK2"
"4864","NP_055018","ADTAA"
"4865","NP_055018","AP2-ALPHA"
"4866","NP_055018","CLAPA1"
"4867","NP_055018","AP2A1"
"4975","NP_001118","ADTB1"
"4976","NP_001118","AP105A"
"4977","NP_001118","BAM22"
"4978","NP_001118","CLAPB2"
"4979","NP_001118","AP1B1"
"5166","NP_001025178","ADTG"
"5167","NP_001025178","CLAPG1"
"5168","NP_001025178","AP1G1"
"5174","NP_001120","ACLP"
"5175","NP_001120","AEBP1"
"5204","NP_001121","AES-1"
"5205","NP_001121","AES-2"
"5206","NP_001121","ESP1"
"5207","NP_001121","GRG"
"5208","NP_001121","GRG5"
"5209","NP_001121","Grg-5"
"5210","NP_001121","TLE5"
"5211","NP_001121","AES"
"5891","NP_000678","SAHH"
"5892","NP_000678","adoHcyase"
"5893","NP_000678","AHCY"
"5964","NP_001613","A2HS"
"5965","NP_001613","AHS"
"5966","NP_001613","FETUA"
"5967","NP_001613","HSGA"
